               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  22,            0.055371,            0.054794,            0.019011,             0.49837,             0.40454,             0.40699,             0.22931,            0.049751,            0.062899,            0.022786,              0.0073,              0.0073,              0.0073
                  23,            0.055118,            0.054336,            0.018709,             0.50049,             0.40526,             0.41016,             0.23058,            0.049458,            0.063109,            0.022906,           0.0071714,           0.0071714,           0.0071714
                  24,            0.055092,            0.054423,            0.018477,             0.50588,             0.40173,             0.40867,             0.22957,            0.049344,            0.063059,            0.022953,           0.0070429,           0.0070429,           0.0070429
                  25,            0.054804,            0.054923,              0.0185,             0.49532,             0.40816,             0.40644,              0.2291,            0.049536,            0.063392,            0.022878,           0.0069143,           0.0069143,           0.0069143
                  26,            0.055009,            0.055249,             0.01835,             0.50358,             0.40875,             0.41311,             0.23609,            0.049162,            0.063148,             0.02286,           0.0067857,           0.0067857,           0.0067857
                  27,            0.054764,            0.054322,            0.018284,             0.51572,             0.41095,             0.41639,             0.23601,            0.049208,             0.06301,             0.02256,           0.0066571,           0.0066571,           0.0066571
                  28,            0.054429,            0.054128,            0.018235,             0.52036,             0.40134,              0.4126,             0.23338,            0.049156,            0.063177,             0.02276,           0.0065286,           0.0065286,           0.0065286
                  29,             0.05452,            0.053822,            0.017968,             0.50261,             0.40685,             0.40646,             0.22847,            0.049182,            0.062907,            0.022977,              0.0064,              0.0064,              0.0064
                  30,            0.054133,            0.053663,            0.017888,             0.51776,             0.40189,              0.4105,             0.23356,            0.049062,             0.06297,            0.022881,           0.0062714,           0.0062714,           0.0062714
                  31,            0.054221,              0.0534,            0.018057,             0.49818,             0.41116,             0.41381,             0.23395,            0.049019,            0.063035,            0.022723,           0.0061429,           0.0061429,           0.0061429
                  32,             0.05445,            0.054794,            0.017906,             0.49969,             0.41077,             0.41453,             0.23441,            0.048897,            0.063072,            0.022964,           0.0060143,           0.0060143,           0.0060143
                  33,            0.054286,            0.054392,            0.017809,              0.5116,             0.41247,             0.41702,             0.23609,            0.048634,            0.062692,            0.022524,           0.0058857,           0.0058857,           0.0058857
                  34,            0.054103,            0.053707,            0.017876,              0.5307,             0.40724,             0.42169,             0.23971,             0.04882,            0.062798,            0.022417,           0.0057571,           0.0057571,           0.0057571
                  35,            0.053905,            0.053794,            0.017701,             0.52131,             0.41015,             0.41663,             0.23834,            0.048817,             0.06327,            0.022964,           0.0056286,           0.0056286,           0.0056286
                  36,            0.053604,            0.053414,            0.017493,             0.51315,             0.41309,             0.41956,             0.23918,            0.048647,            0.062635,            0.022739,              0.0055,              0.0055,              0.0055
                  37,            0.053893,             0.05377,            0.017683,                0.53,             0.41455,             0.42479,             0.23989,            0.048646,            0.062772,            0.022467,           0.0053714,           0.0053714,           0.0053714
                  38,            0.054064,            0.054956,            0.017536,             0.52069,             0.41622,             0.42513,             0.24221,             0.04863,            0.062618,             0.02234,           0.0052429,           0.0052429,           0.0052429
                  39,            0.053473,            0.053509,            0.017243,             0.52161,              0.4075,                0.42,             0.23902,            0.048672,            0.062793,            0.022689,           0.0051143,           0.0051143,           0.0051143
                  40,            0.053653,            0.053367,            0.017541,             0.52401,             0.40974,              0.4222,             0.24051,            0.048444,            0.062612,            0.022679,           0.0049857,           0.0049857,           0.0049857
                  41,            0.053561,            0.053482,            0.017364,              0.5334,             0.41103,             0.42268,             0.24131,            0.048538,            0.062727,            0.022291,           0.0048571,           0.0048571,           0.0048571
                  42,             0.05293,            0.052619,            0.017045,             0.52094,             0.41718,             0.42391,              0.2434,            0.048465,            0.062687,              0.0225,           0.0047286,           0.0047286,           0.0047286
                  43,            0.053142,            0.052961,            0.017232,             0.53116,             0.41518,             0.42451,             0.24281,            0.048465,            0.062991,            0.022633,              0.0046,              0.0046,              0.0046
                  44,            0.053572,            0.053585,             0.01786,             0.52111,             0.41918,             0.42472,             0.24393,            0.048373,            0.062468,            0.022333,           0.0044714,           0.0044714,           0.0044714
                  45,            0.053351,            0.052753,            0.017667,             0.51452,             0.42087,             0.42449,             0.24096,            0.048351,            0.062658,            0.022471,           0.0043429,           0.0043429,           0.0043429
                  46,            0.053536,            0.053856,            0.017712,              0.5229,              0.4212,             0.42786,             0.24438,            0.048275,            0.062422,            0.022299,           0.0042143,           0.0042143,           0.0042143
                  47,            0.053301,            0.052769,            0.017645,             0.52543,             0.42631,             0.42822,              0.2446,            0.048415,             0.06241,            0.022145,           0.0040857,           0.0040857,           0.0040857
                  48,            0.053258,            0.053288,            0.017606,             0.53254,             0.42291,             0.43328,             0.24965,            0.048174,            0.062318,            0.022073,           0.0039571,           0.0039571,           0.0039571
                  49,            0.053166,            0.053206,            0.017425,             0.54148,             0.42098,             0.43294,             0.24901,            0.048153,             0.06237,            0.022286,           0.0038286,           0.0038286,           0.0038286
                  50,            0.052962,            0.052786,            0.017224,             0.52993,             0.42047,             0.42874,             0.24644,            0.048106,            0.062394,            0.022322,              0.0037,              0.0037,              0.0037
                  51,            0.053151,            0.053505,            0.017509,             0.52963,             0.42775,             0.43365,             0.24812,            0.048238,            0.062468,             0.02239,           0.0035714,           0.0035714,           0.0035714
                  52,            0.053308,            0.053271,            0.017388,              0.5347,             0.42143,             0.43144,              0.2488,            0.048029,             0.06228,            0.022165,           0.0034429,           0.0034429,           0.0034429
                  53,            0.053013,            0.053162,             0.01724,             0.53443,             0.42439,             0.43195,             0.24874,             0.04801,            0.062363,            0.022263,           0.0033143,           0.0033143,           0.0033143
                  54,            0.053031,            0.053442,            0.017224,             0.53814,             0.42217,             0.43292,              0.2492,             0.04792,            0.062366,            0.022258,           0.0031857,           0.0031857,           0.0031857
                  55,            0.053009,            0.053349,            0.017234,             0.52719,             0.42295,             0.43264,             0.25064,            0.047966,             0.06249,            0.022305,           0.0030571,           0.0030571,           0.0030571
                  56,            0.052382,            0.052209,            0.016739,             0.53093,             0.42675,             0.43456,             0.25133,            0.047897,            0.062313,            0.022157,           0.0029286,           0.0029286,           0.0029286
                  57,            0.052682,            0.052995,            0.016927,             0.53935,             0.42483,             0.43496,             0.25115,            0.047931,            0.062128,            0.022175,              0.0028,              0.0028,              0.0028
                  58,            0.052224,             0.05182,            0.016565,             0.54586,             0.41618,             0.43168,             0.24807,            0.048011,            0.062248,            0.022294,           0.0026714,           0.0026714,           0.0026714
                  59,            0.052208,            0.052276,            0.016797,             0.53818,              0.4203,             0.43417,             0.25101,            0.047952,             0.06219,            0.022397,           0.0025429,           0.0025429,           0.0025429
                  60,            0.052648,            0.053343,            0.016863,             0.53811,              0.4249,             0.43446,             0.25038,            0.047879,            0.062362,            0.022334,           0.0024143,           0.0024143,           0.0024143
                  61,            0.052303,            0.052976,            0.016821,             0.53741,             0.42483,             0.43457,             0.24988,             0.04786,            0.062367,             0.02259,           0.0022857,           0.0022857,           0.0022857
                  62,            0.052084,            0.051945,            0.016566,             0.53194,             0.42864,             0.43594,             0.25149,            0.047818,            0.062256,            0.022502,           0.0021571,           0.0021571,           0.0021571
                  63,            0.052078,            0.052098,            0.016536,             0.52916,             0.42991,             0.43428,             0.25045,             0.04781,            0.062434,            0.022586,           0.0020286,           0.0020286,           0.0020286
                  64,            0.052014,             0.05171,            0.016419,             0.54005,              0.4239,             0.43453,             0.25068,            0.047765,            0.062369,             0.02255,              0.0019,              0.0019,              0.0019
                  65,            0.052004,            0.052798,            0.016527,             0.53369,             0.42501,             0.43445,              0.2512,            0.047745,            0.062443,            0.022573,           0.0017714,           0.0017714,           0.0017714
                  66,            0.052209,            0.052929,            0.016478,             0.53905,             0.42436,             0.43497,             0.25188,            0.047757,            0.062236,            0.022548,           0.0016429,           0.0016429,           0.0016429
                  67,            0.051844,            0.051737,            0.016399,             0.53287,             0.42368,             0.43331,             0.25083,            0.047723,             0.06234,            0.022741,           0.0015143,           0.0015143,           0.0015143
                  68,            0.051673,            0.051956,            0.016152,             0.53954,             0.42316,             0.43525,             0.25122,            0.047787,             0.06239,            0.022736,           0.0013857,           0.0013857,           0.0013857
                  69,            0.051952,            0.052303,            0.016432,             0.53498,             0.42549,               0.436,             0.25249,            0.047691,            0.062218,            0.022534,           0.0012571,           0.0012571,           0.0012571
